theta1,theta2
-4.923686760118444194e-01,-3.785835715597170026e-01
-5.136451795482496196e-01,-3.302022521300341795e-01
-4.231188751698907735e-01,-2.555661206954527032e-01
-4.301170786915416433e-01,-2.336379169156645452e-01
-4.237148665409156134e-01,-2.312909111037809717e-01
-3.794871162877300197e-01,-2.105791356720025376e-01
-3.569019186179329117e-01,-2.664011122470152371e-01
-2.847118828959521730e-01,-2.080026361333416063e-01
-3.123509187693425670e-01,-1.081941500862801109e-01
-2.708233001952962127e-01,-1.967814162824136903e-01
-3.279007535665167117e-01,-1.872978390829468931e-01
-2.581252341555850816e-01,-2.244064487356493554e-01
-2.461572875372027291e-01,-1.873523654611373157e-01
-2.469563854483937948e-01,-1.119701650715510394e-01
-2.758164447432542299e-01,-9.253909106150128017e-02
-2.369166324688339043e-01,-5.527921788270628162e-02
-2.007507535243829300e-01,-7.566883673323594739e-02
-1.748593007897783491e-01,-3.421785853969266933e-02
-1.584705912935077676e-01,-6.456596973956603425e-02
-1.027616996137414307e-01,-1.088621336572803966e-01
-2.042393091737649269e-01,-6.332877926795829615e-02
-1.699818795590997411e-01,-9.940080914328069950e-02
-1.393050706949384987e-01,-1.565199103952527315e-01
-7.487049723708776028e-02,-1.350339915616946551e-01
-6.596997094079241897e-02,-7.964197656034771589e-02
-4.488516984639673302e-03,-8.279595147990631565e-02
1.107080785057804051e-02,-2.744699658152124910e-02
-2.804933010421398892e-02,1.895040467503959769e-02
-3.166428008235862290e-02,5.404150618907337111e-02
3.200466343783861523e-03,6.938063298240851329e-02
3.735692859678498012e-02,4.174213232107704119e-02
-4.605863911248206377e-02,1.358617489435893708e-02
5.729484525682368434e-02,-2.916973294897657124e-02
-2.593072513671632051e-02,4.521949565518688235e-03
-9.204898793947044466e-02,-2.070805651692009600e-02
-5.194749117592256660e-02,-4.830667590534397371e-02
-1.713296375313676234e-02,-5.570033329433211888e-02
-9.529243104254478403e-02,1.538319812882181503e-03
-6.741887792386030975e-02,-6.082982882162009386e-02
